id,Name,titleProject_id,class,score,login,pass
324,Люцарева Яна Аркадьевна,376,11б,2,Люцарева_ЯА,P8CpwUfm
325,Боготынина София Егоровна,63,11б,5,Боготынина_СЕ,t2rvtIbz
326,Саюшкин Игорь Алексиевич,211,11х,5,Саюшкин_ИА,sDh7ZpaL
327,Потешных Тамара Николаевна,468,11в,3,Потешных_ТН,uW2spSuT
328,Незлина Жанна Василевна,426,8б,5,Незлина_ЖВ,WhpgHgAB
329,Федичева Вероника Кирилловна,37,7х,4,Федичева_ВК,6Bvrr6cf
330,Пустынкин Вадим Антонович,388,10в,5,Пустынкин_ВА,wXuZ8Z6U
331,Аринакова Ирина Михайловна,150,8в,5,Аринакова_ИМ,GN8iZRo0
332,Обиралкова Мария Егоровна,294,11т,5,Обиралкова_МЕ,lTQ1ifsc
333,Аристарова Валентина Максимовна,443,11г,2,Аристарова_ВМ,yAohujWa
334,Яуров Герасим Юрьевич,38,9а,5,Яуров_ГЮ,RvFuAMRe
335,Духонькин Вячеслав Фёдорович,2,9в,4,Духонькин_ВФ,h7b611Dk
336,Гвасков Евгений Михаилович,402,9в,5,Гвасков_ЕМ,L77XXdoV
337,Жабынина Галина Николаевна,185,7х,5,Жабынина_ГН,Lpy0GrCU
338,Шерюкова Виолетта Романовна,440,9б,4,Шерюкова_ВР,AUv3hYVm
339,Колокатов Пётр Евгеньевич,484,10в,3,Колокатов_ПЕ,sPdHWey5
340,Шайдуков Андрей Михаилович,317,9и,4,Шайдуков_АМ,mQauvUv1
341,Смирнягина Дарья Игоревна,425,10в,4,Смирнягина_ДИ,DSSdoXB2
342,Штырева Ева Олеговна,258,11и,2,Штырева_ЕО,yB4cWjFC
343,Ашукин Вячеслав Михаилович,191,10т,4,Ашукин_ВМ,3a3wC87i
344,Рубченкова Галина Алексеевна,190,9в,3,Рубченкова_ГА,p5YV3zKI
345,Зархин Иван Алексиевич,478,11и,5,Зархин_ИА,Wd3OdCqn
346,Адиотов Дмитрий Павлович,156,7б,3,Адиотов_ДП,wFmEA3kG
347,Тищенкова Раиса Валерьевна,79,7д,3,Тищенкова_РВ,vMKbO2mb
348,Лозеев Илья Петрович,205,10д,2,Лозеев_ИП,hWSB6dcv
349,Кобяшов Герасим Михаилович,305,11т,2,Кобяшов_ГМ,Ye4nTmKy
350,Ронова Клавдия Валерьевна,107,7и,4,Ронова_КВ,JGPDyB7C
351,Стрижнов Алексей Евгеньевич,385,11г,3,Стрижнов_АЕ,7X1YAu02
352,Волынский Алексей Виталиевич,362,11т,5,Волынский_АВ,6pFGBCRl
353,Машонский Василий Данилович,23,9д,5,Машонский_ВД,X57DO191
354,Буриева Зинаида Аркадьевна,104,11д,4,Буриева_ЗА,HAv8u0tb
355,Борщина Алёна Ивановна,377,11а,5,Борщина_АИ,iBCkoVDa
356,Белчков Олег Иванович,275,10а,4,Белчков_ОИ,sCM8XskE
357,Остропиков Альберт Данилович,157,8г,2,Остропиков_АД,KpjujUHs
358,Оргонова Любовь Максимовна,264,7б,4,Оргонова_ЛМ,XguTmUVZ
359,Мальков Юрий Евгеньевич,228,7г,3,Мальков_ЮЕ,fmYaV3Gu
360,Свльхова Наталья Вадимовна,160,9т,5,Свльхова_НВ,whqdLCEx
361,Мякушков Герасим Леонидович,102,10т,3,Мякушков_ГЛ,LWoHiTZ2
362,Межуев Георгий Юриевич,355,8г,4,Межуев_ГЮ,TL2ZcWCh
363,Чериншев Александр Сергеевич,439,8а,2,Чериншев_АС,rMx4iHM8
364,Муниров Алексей Андреевич,117,11г,3,Муниров_АА,J1WWqGuz
365,Климухин Руслан Романович,269,10в,3,Климухин_РР,eXTLsV4N
366,Дембская Екатерина Никитична,64,11б,4,Дембская_ЕН,dKEtlIWr
367,Тюнеев Яков Фёдорович,417,10т,2,Тюнеев_ЯФ,l8ZdskSB
368,Трушитин Антон Данилович,168,9х,3,Трушитин_АД,JaTqNc5I
369,Балакишиев Роман Алексиевич,143,11х,5,Балакишиев_РА,hC8QTeZf
370,Немтюрева Валерия Аркадьевна,12,10г,4,Немтюрева_ВА,LRnrszrh
371,Складанова Клавдия Аркадьевна,257,9а,3,Складанова_КА,xJWVEurY
372,Заходина Полина Леонидовна,93,10д,4,Заходина_ПЛ,MvpfRZax
373,Муринов Анатолий Борисович,171,11б,5,Муринов_АБ,4IhcR2NX
374,Гришалова Любовь Евгеньевна,301,8т,3,Гришалова_ЛЕ,IBkXs8zw
375,Ситчихин Станислав Георгиевич,247,8т,5,Ситчихин_СГ,soXneBux
376,Просяных Георгий Василиевич,366,9в,2,Просяных_ГВ,NLYBRq4y
377,Дзабиев Григорий Георгиевич,259,11д,5,Дзабиев_ГГ,vIeRh1cc
378,Рыбаулин Григорий Алексеевич,140,11а,5,Рыбаулин_ГА,kxQoghnP
379,Тупиева Екатерина Ивановна,400,7д,2,Тупиева_ЕИ,051Irvec
380,Куверчева Алена Ивановна,170,10д,3,Куверчева_АИ,k2V9rSBN
381,Цаблинова Виктория Богдановна,342,9г,4,Цаблинова_ВБ,4D1Dntlu
382,Синенков Григорий Леонидович,230,9в,5,Синенков_ГЛ,OboGenmM
383,Лизункин Артур Олегович,4,11в,5,Лизункин_АО,6myUjwXF
384,Славущева Александра Эдуардовна,81,8а,5,Славущева_АЭ,SW1R6aV9
385,Шахвердов Дмитрий Антонович,132,11б,2,Шахвердов_ДА,RYKRofs7
386,Рапацкая Ольга Ивановна,223,10г,3,Рапацкая_ОИ,bhHxO50b
387,Сторокожев Виталий Аркадиевич,159,9б,2,Сторокожев_ВА,qpIcf9qB
388,Половодов Кирилл Николаевич,18,8т,5,Половодов_КН,bSXFfTld
389,Халтанова Алена Дмитриевна,49,8б,3,Халтанова_АД,eI25yVwj
390,Заложнев Роман Фёдорович,448,8в,4,Заложнев_РФ,0Ci6pnrx
391,Рыжих Кристина Аркадьевна,213,7а,4,Рыжих_КА,VgSuuvRG
392,Буров Руслан Игоревич,405,11и,5,Буров_РИ,3PYs7bsW
393,Гачков Виталий Евгеньевич,277,9т,4,Гачков_ВЕ,LTX8BOO7
394,Кадилов Геннадий Борисович,225,10в,3,Кадилов_ГБ,nTcFI2wJ
395,Гликина Алёна Эдуардовна,454,9б,3,Гликина_АЭ,74I6Ss9V
396,Ичкинина Любовь Андреевна,299,8г,5,Ичкинина_ЛА,126fmXPC
397,Мозшорина Кира Дмитриевна,65,8б,3,Мозшорина_КД,sOco4evi
398,Брижеватов Константин Борисович,152,11т,2,Брижеватов_КБ,fwjCsaNX
399,Бучеров Тарас Викторович,429,10д,4,Бучеров_ТВ,p4jSjzUk
400,Мисютина Валерия Эдуардовна,368,9г,2,Мисютина_ВЭ,PasD7JvU
401,Льянов Федор Вадимович,328,8а,4,Льянов_ФВ,nDtR9VXf
402,Щуркин Георгий Яковлевич,180,8в,4,Щуркин_ГЯ,f1MRjKM6
403,Акулин Федор Адамович,241,10г,4,Акулин_ФА,otrOdxa7
404,Волженкова Екатерина Ивановна,233,9д,4,Волженкова_ЕИ,04rtvLV8
405,Махометова София Викторовна,424,8и,3,Махометова_СВ,atWh6MdU
406,Зызлов Геннадий Антонович,274,7в,3,Зызлов_ГА,CSMELDWl
407,Девляшова Кира Олеговна,51,11д,5,Девляшова_КО,oQMvjCku
408,Яковкина Алена Никитична,320,9т,5,Яковкина_АН,pTGEtsQA
409,Бузулев Вадим Николаевич,331,10д,3,Бузулев_ВН,OnXSK0hs
410,Ганельский Юрий Юриевич,474,9д,3,Ганельский_ЮЮ,GO5Uv2df
411,Шкапрова Ева Ивановна,371,7б,5,Шкапрова_ЕИ,1lFl1Crs
412,Чичирин Владимир Георгиевич,11,10а,4,Чичирин_ВГ,jlDYtVe7
413,Шилова Надежда Викторовна,124,9б,2,Шилова_НВ,PxrLYhTE
414,Коваев Руслан Михаилович,487,9т,3,Коваев_РМ,hhku4ZRk
415,Саверина Надежда Андреевна,407,11б,4,Саверина_НА,TgSn5lKn
416,Тишанкин Олег Адамович,334,9д,3,Тишанкин_ОА,NRC66kQw
417,Широпаев Валерий Сергеевич,406,9б,2,Широпаев_ВС,ko230uCV
418,Щепанин Олег Адамович,226,7а,3,Щепанин_ОА,YWPPCR0o
419,Оплетин Владислав Аркадиевич,361,10х,4,Оплетин_ВА,FsVTOXZv
420,Оденова Карина Андреевна,409,8и,4,Оденова_КА,5C7EqBwR
421,Семагин Альберт Андреевич,456,10х,4,Семагин_АА,kcWpHOrI
422,Черданцева Анастасия Олеговна,128,8х,3,Черданцева_АО,O9uGhvMJ
423,Лонцова Елизавета Эдуардовна,224,7х,3,Лонцова_ЕЭ,8fhBqbrf
424,Сарсекеева Алёна Никитична,462,11и,4,Сарсекеева_АН,b9lLR9uA
425,Аковецкий Антон Евгеньевич,500,8б,4,Аковецкий_АЕ,V0z1XeDm
426,Аратский Станислав Борисович,351,9и,2,Аратский_СБ,2ckk9xhu
427,Чужриков Пётр Денисович,200,9в,3,Чужриков_ПД,lQcXRg78
428,Никитшин Алексей Кириллович,111,11и,3,Никитшин_АК,ZMyBRxtR
429,Симендяев Василий Алексиевич,45,8д,4,Симендяев_ВА,8ML0nBza
430,Ошитков Максим Сергеевич,151,10г,4,Ошитков_МС,cUm1kxA0
431,Юрасов Евгений Романович,338,9и,3,Юрасов_ЕР,yJDr98lj
432,Головяшин Павел Юриевич,179,7г,5,Головяшин_ПЮ,2enGO3YM
433,Манжурина Екатерина Сергеевна,219,7т,3,Манжурина_ЕС,UokB8Nus
434,Никурашин Олег Евгеньевич,291,11х,2,Никурашин_ОЕ,B4zigs8h
435,Бехтерев Федор Вадимович,137,9х,3,Бехтерев_ФВ,nE537dNL
436,Годлевская Катерина Дмитриевна,403,11г,3,Годлевская_КД,DDs58mWp
437,Акиярова Алина Эдуардовна,9,11а,4,Акиярова_АЭ,JZcxQpIK
438,Милина Алена Петровна,359,8г,3,Милина_АП,173DZq8B
439,Воловин Борис Викторович,350,7т,2,Воловин_БВ,bNwrtIY4
440,Туморина Ксения Федоровна,133,8б,5,Туморина_КФ,FrwQgrQt
441,Желейков Вячеслав Яковлевич,199,8г,3,Желейков_ВЯ,a9YcA3Sv
442,Шишорнина Екатерина Алексеевна,183,8т,3,Шишорнина_ЕА,FZ26TfSg
443,Юумогулова Виолетта Игоревна,311,10х,3,Юумогулова_ВИ,3RsGTJY8
444,Рецков Денис Денисович,85,10д,2,Рецков_ДД,y3az9wjv
445,Химунина Елизавета Ивановна,392,7д,2,Химунина_ЕИ,eXO5l35M
446,Кобрянов Александр Алексиевич,455,7т,2,Кобрянов_АА,zOjC9GEu
447,Бирылов Тарас Данилович,243,11а,3,Бирылов_ТД,xERvTQYD
448,Туфатулин Ярослав Леонидович,485,8х,4,Туфатулин_ЯЛ,N3CRCJsR
449,Долбишев Николай Аркадиевич,292,10б,5,Долбишев_НА,iHInokqe
450,Махтумова Алёна Эдуардовна,186,10б,4,Махтумова_АЭ,OefLBBII
451,Нарзаркин Алексей Романович,423,10т,2,Нарзаркин_АР,18JzXlyx
452,Куранина Алена Леонидовна,196,9б,4,Куранина_АЛ,QifJKmhU
453,Ситюков Аркадий Евгеньевич,32,10в,3,Ситюков_АЕ,EWVNnfrI
454,Мизюрова Алиса Никитична,176,7г,4,Мизюрова_АН,aryBAjny
455,Пандурова Алиса Дмитриевна,130,9б,2,Пандурова_АД,u1K77dVd
456,Жилейкин Борис Тимофеевич,91,7в,2,Жилейкин_БТ,N3yhgYYZ
457,Корпункова Виолетта Сергеевна,83,11а,3,Корпункова_ВС,WUq0hgUB
458,Пашохонова Анастасия Федоровна,467,9в,4,Пашохонова_АФ,kPCAvitT
459,Сузальцева Тамара Михайловна,357,8х,4,Сузальцева_ТМ,e9YLIbmY
460,Чиличкина Светлана Яковлевна,5,8в,5,Чиличкина_СЯ,RahTsN5R
461,Шантыкова Карина Максимовна,198,10д,3,Шантыкова_КМ,sYTE5d9s
462,Недосекин Владислав Яковлевич,457,10а,4,Недосекин_ВЯ,k5NvGBR7
463,Максимкин Федор Фёдорович,172,10г,2,Максимкин_ФФ,YWZSXXJP
464,Матбиюшина Виктория Игоревна,237,8д,2,Матбиюшина_ВИ,uCcJvvr9
465,Шишкунов Герасим Юрьевич,110,8т,4,Шишкунов_ГЮ,IqAK3kKu
466,Сухинин Георгий Алексиевич,475,10х,4,Сухинин_ГА,Z3bYWioJ
467,Бисеева Полина Романовна,48,7д,5,Бисеева_ПР,WJPf4bOW
468,Жукулов Михаил Денисович,60,11г,3,Жукулов_МД,3Q0iFhap
469,Тоняев Герасим Петрович,378,9т,5,Тоняев_ГП,wcKOs5VH
470,Шушенкова Алёна Олеговна,36,7и,2,Шушенкова_АО,Yrrror2L
471,Разроев Дмитрий Павлович,59,9а,2,Разроев_ДП,VpwN1xte
472,Баззаев Анатолий Данилович,339,9д,2,Баззаев_АД,8lSwml3x
473,Цекова Алла Олеговна,50,8д,2,Цекова_АО,cTsCsbiV
474,Аборонова Алиса Алексеевна,444,7г,5,Аборонова_АА,Nk05H2tV
475,Ягловская Ева Олеговна,181,8в,4,Ягловская_ЕО,085GrxrR
476,Шароварова Яна Романовна,175,8а,4,Шароварова_ЯР,2tKetCD3
477,Общев Яков Викторович,466,8а,4,Общев_ЯВ,jnQnONTM
478,Ойзерская Катерина Эдуардовна,120,7х,2,Ойзерская_КЭ,m5TvH3IU
479,Прусский Ярослав Иванович,479,11б,2,Прусский_ЯИ,IuWm1HSA
480,Лабинов Павел Алексеевич,272,7б,5,Лабинов_ПА,UyDhcEoD
481,Покровов Эдуард Павлович,312,8б,2,Покровов_ЭП,ZKti6Fgp
482,Мачехин Эдуард Данилович,19,7д,3,Мачехин_ЭД,8siXWy0s
483,Кодорская Раиса Ивановна,27,11б,3,Кодорская_РИ,0zi8Sd0h
484,Кондраева Марина Ивановна,469,9д,3,Кондраева_МИ,tHgzk2PF
485,Бульенков Валентин Иванович,136,10т,4,Бульенков_ВИ,sPH2LQ9W
486,Тагакова Вероника Яковлевна,393,8т,4,Тагакова_ВЯ,8JlZ73Tv
487,Гершанова Любовь Евгеньевна,383,11т,5,Гершанова_ЛЕ,DA3MyNoN
488,Салина Алена Егоровна,73,11в,5,Салина_АЕ,DFye0Itn
489,Фрумова Зинаида Аркадьевна,78,8а,4,Фрумова_ЗА,Ih9WhfMQ
490,Хорняков Борис Борисович,13,8г,2,Хорняков_ББ,NATSzyoG
491,Гдагазина Лиза Василевна,212,9т,5,Гдагазина_ЛВ,xS26IKl2
492,Агаршев Ярослав Михаилович,276,9т,2,Агаршев_ЯМ,F9QYmvLb
493,Корюшин Пётр Антонович,326,8х,2,Корюшин_ПА,YTCMycmh
494,Калаев Пётр Алексиевич,68,8а,3,Калаев_ПА,DKoWiTOq
495,Ккаталкина Виолетта Егоровна,53,7б,2,Ккаталкина_ВЕ,qAjuqhLP
496,Рачнов Герасим Алексеевич,103,10а,5,Рачнов_ГА,MiWDFTgW
497,Миндубаева Людмила Леонидовна,477,11и,2,Миндубаева_ЛЛ,FsMrEPn3
498,Агафьева Вера Ивановна,352,11х,3,Агафьева_ВИ,wdEnUAD2
499,Житин Эдуард Адамович,481,9а,5,Житин_ЭА,BKv31lzw
